,Clusters,lambda,Error,Validation Error,Test Error
90,60,10.0,2.9247859034187256,3.0390997884112836,2.879945670498863
85,10,10.0,2.931625318068287,3.0396002649756655,2.8914068498697882
86,20,10.0,2.930290505500575,3.0396785186473254,2.889312079325735
87,30,10.0,2.930990991040371,3.040489259863872,2.8875473905714757
89,50,10.0,2.9355437724687388,3.0467347642318554,2.8890547910371867
88,40,10.0,2.938289496880711,3.0482629261618026,2.891946204215949
0,1,0.01,3.0725840801213047,3.2029618962734854,3.0302659751246828
21,1,0.1,3.106127410192154,3.238775550220106,3.0637590259972174
42,1,1.0,3.1103672197544134,3.243293952514771,3.06803719333776
63,1,5.0,3.1107921318772,3.2439071874723036,3.0686236467308037
84,1,10.0,3.110961001906506,3.244284082233012,3.068994907552173
