,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__alpha,param_mlp__batch_size,param_mlp__early_stopping,param_mlp__hidden_layer_sizes,param_mlp__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5498766899108887,0.0746826316702801,0.0037646770477294924,0.0004377818915170764,0.01,50,True,"(25, 25)",constant,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'constant'}",0.5040650406504065,0.4796747967479675,0.5487804878048781,0.491869918699187,0.4715447154471545,0.4991869918699187,0.027135478485005925,91
1,0.569439697265625,0.04516457783397632,0.0035336971282958984,0.00028490254459704917,0.01,50,True,"(25, 25)",adaptive,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'adaptive'}",0.5040650406504065,0.4796747967479675,0.5487804878048781,0.491869918699187,0.4715447154471545,0.4991869918699187,0.027135478485005925,91
2,0.5768377780914307,0.05140911523945602,0.0037163734436035157,0.0001310332199617061,0.01,50,True,"(25, 25)",invscaling,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'invscaling'}",0.5040650406504065,0.4796747967479675,0.5487804878048781,0.491869918699187,0.4715447154471545,0.4991869918699187,0.027135478485005925,91
3,0.756964921951294,0.20022422180956312,0.003997945785522461,5.818089461510625e-05,0.01,50,True,"(50, 50)",constant,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'constant'}",0.5528455284552846,0.540650406504065,0.5853658536585366,0.47560975609756095,0.5650406504065041,0.5439024390243902,0.037203451019992034,4
4,0.7686018943786621,0.21259310473680934,0.0052493572235107425,0.00200566327335668,0.01,50,True,"(50, 50)",adaptive,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'adaptive'}",0.5528455284552846,0.540650406504065,0.5853658536585366,0.47560975609756095,0.5650406504065041,0.5439024390243902,0.037203451019992034,4
5,0.846662187576294,0.22756321711483699,0.004870700836181641,0.00020888251071234657,0.01,50,True,"(50, 50)",invscaling,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (50, 50), 'mlp__learning_rate': 'invscaling'}",0.5528455284552846,0.540650406504065,0.5853658536585366,0.47560975609756095,0.5650406504065041,0.5439024390243902,0.037203451019992034,4
6,0.9795726299285888,0.35433073612095833,0.007532835006713867,0.004060854264740273,0.01,50,True,"(75, 75)",constant,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (75, 75), 'mlp__learning_rate': 'constant'}",0.5447154471544715,0.556910569105691,0.5121951219512195,0.5203252032520326,0.5365853658536586,0.5341463414634147,0.016178657513928756,43
7,1.0149773120880128,0.3246681206663826,0.006154394149780274,0.0008357847214275938,0.01,50,True,"(75, 75)",adaptive,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (75, 75), 'mlp__learning_rate': 'adaptive'}",0.5447154471544715,0.556910569105691,0.5121951219512195,0.5203252032520326,0.5365853658536586,0.5341463414634147,0.016178657513928756,43
8,0.9258349418640137,0.29375063525472767,0.004290151596069336,0.0004041280689285727,0.01,50,True,"(75, 75)",invscaling,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (75, 75), 'mlp__learning_rate': 'invscaling'}",0.5447154471544715,0.556910569105691,0.5121951219512195,0.5203252032520326,0.5365853658536586,0.5341463414634147,0.016178657513928756,43
9,10.591384077072144,0.14365316825833552,0.003981161117553711,2.6662574729764617e-05,0.01,50,False,"(25, 25)",constant,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'constant'}",0.5284552845528455,0.524390243902439,0.5772357723577236,0.4959349593495935,0.5121951219512195,0.5276422764227642,0.027256999372748322,64
10,10.727746725082397,0.21373895187392858,0.004354524612426758,0.0002564841163399716,0.01,50,False,"(25, 25)",adaptive,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'adaptive'}",0.5284552845528455,0.524390243902439,0.5772357723577236,0.4959349593495935,0.5121951219512195,0.5276422764227642,0.027256999372748322,64
11,11.427586650848388,0.210000077284771,0.004761934280395508,0.00013998602262810825,0.01,50,False,"(25, 25)",invscaling,"{'mlp__alpha': 0.01, 'mlp__batch_size': 50, 'mlp__early_stopping': False, 'mlp__hidden_layer_sizes': (25, 25), 'mlp__learning_rate': 'invscaling'}",0.5284552845528455,0.524390243902439,0.5772357723577236,0.4959349593495935,0.5121951219512195,0.5276422764227642,0.027256999372748322,64
