,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
226,0.8425815582275391,0.18671378603357294,0.0007129192352294921,0.00012730921683257635,tanh,0,100,8,constant,sgd,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
227,0.935447883605957,0.19834686132476018,0.0007046222686767578,0.00011634871607834341,tanh,0,100,8,constant,adam,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
228,0.020154237747192383,0.000667039488511763,0.0008231639862060547,1.1444687827801518e-05,tanh,0,100,8,adaptive,lbfgs,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
229,0.8516901016235352,0.18169700979542544,0.0007342338562011719,0.0001337188279712748,tanh,0,100,8,adaptive,sgd,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
230,0.9302016258239746,0.19790404276704407,0.0007040023803710938,0.0001315856653604779,tanh,0,100,8,adaptive,adam,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
231,0.013143777847290039,0.000539812328812736,0.0005584239959716796,5.833462947825689e-05,tanh,0,100,8,invscaling,lbfgs,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
232,0.8496270656585694,0.18417056031650478,0.0007380008697509766,9.689603261052636e-05,tanh,0,100,8,invscaling,sgd,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'invscaling', 'solver': 'sgd'}",0.25,0.24375,0.24375,0.23125,0.25,0.24375,0.006846531968814572,633
233,0.8483315944671631,0.19989890346371522,0.0007981300354003906,0.00031154594997048453,tanh,0,100,8,invscaling,adam,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'invscaling', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
234,0.013357257843017578,0.0006525699803151335,0.0005451679229736328,1.5214468246433618e-05,tanh,0,100,10,constant,lbfgs,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
235,0.8955002784729004,0.18190985757715256,0.0007376194000244141,0.0001437933581816469,tanh,0,100,10,constant,sgd,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
236,0.9708728313446044,0.19740874768024344,0.0007271289825439454,0.00012245308200942558,tanh,0,100,10,constant,adam,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'constant', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
237,0.01673097610473633,0.00299784380758444,0.0007064342498779297,0.00012395702703866778,tanh,0,100,10,adaptive,lbfgs,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
238,0.7933346271514893,0.1827266117679283,0.0007479667663574218,0.00014337648906649424,tanh,0,100,10,adaptive,sgd,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
239,0.9803036212921142,0.14802099299580004,0.0007411003112792969,0.0001250148086651493,tanh,0,100,10,adaptive,adam,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'adaptive', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
240,0.021411657333374023,0.0011335218029899189,0.0008380889892578125,2.217851588888133e-05,tanh,0,100,10,invscaling,lbfgs,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
241,0.8481344699859619,0.15141889699901884,0.0007189273834228516,0.0001286475900179254,tanh,0,100,10,invscaling,sgd,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'invscaling', 'solver': 'sgd'}",0.2625,0.25625,0.28125,0.2625,0.2625,0.265,0.008477912478906587,617
242,0.945136547088623,0.2038461335232418,0.0007355213165283203,0.00014656495880350172,tanh,0,100,10,invscaling,adam,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 10, 'learning_rate': 'invscaling', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
243,0.02293996810913086,0.0007735091443951427,0.0008693218231201171,1.0720249554745786e-05,tanh,0,100,15,constant,lbfgs,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 15, 'learning_rate': 'constant', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
244,0.879578685760498,0.18580578127666544,0.0007623672485351562,0.00014137064579252176,tanh,0,100,15,constant,sgd,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 15, 'learning_rate': 'constant', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
245,0.7422546863555908,0.1586521506431574,0.0007942676544189453,0.00011295140009598337,tanh,0,100,15,constant,adam,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 15, 'learning_rate': 'constant', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
246,0.014892578125,0.0004974165161693349,0.000578927993774414,4.670570674127915e-06,tanh,0,100,15,adaptive,lbfgs,"{'activation': 'tanh', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 15, 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
