,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.4064230442047119,0.24267201257031729,0.003764438629150391,0.0006547482499284545,0.01,50,True,"(25, 25)",constant,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant'}",0.3983739837398374,0.47560975609756095,0.483739837398374,0.4796747967479675,0.47560975609756095,0.46260162601626026,0.032255015325003855,97
1,1.2298434257507325,0.32666296391229693,0.004275131225585938,0.0008620550042371316,0.01,50,True,"(25, 25)",adaptive,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'adaptive'}",0.3983739837398374,0.47560975609756095,0.483739837398374,0.4796747967479675,0.47560975609756095,0.46260162601626026,0.032255015325003855,97
2,0.9855941772460938,0.36196417305382544,0.006169795989990234,0.003988033281161315,0.01,50,True,"(25, 25)",invscaling,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'invscaling'}",0.3983739837398374,0.47560975609756095,0.483739837398374,0.4796747967479675,0.47560975609756095,0.46260162601626026,0.032255015325003855,97
3,1.6131972789764404,0.6398260136889946,0.004538345336914063,0.00012657070892490668,0.01,50,True,"(50, 50)",constant,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant'}",0.5203252032520326,0.5284552845528455,0.4796747967479675,0.508130081300813,0.5528455284552846,0.5178861788617886,0.02406284323081096,55
4,1.8892520427703858,0.8158973154218162,0.006528186798095703,0.0027877035665994786,0.01,50,True,"(50, 50)",adaptive,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive'}",0.5203252032520326,0.5284552845528455,0.4796747967479675,0.508130081300813,0.5528455284552846,0.5178861788617886,0.02406284323081096,55
5,1.9593972206115722,0.5734254924367098,0.005958938598632812,0.0015416800950796355,0.01,50,True,"(50, 50)",invscaling,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'invscaling'}",0.5203252032520326,0.5284552845528455,0.4796747967479675,0.508130081300813,0.5528455284552846,0.5178861788617886,0.02406284323081096,55
6,1.906361961364746,0.5787628015245617,0.006487846374511719,0.002951669241969469,0.01,50,True,"(75, 75)",constant,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (75, 75), 'learning_rate': 'constant'}",0.491869918699187,0.532520325203252,0.508130081300813,0.47560975609756095,0.556910569105691,0.5130081300813009,0.028904697292083205,61
7,1.7686019897460938,0.4547428947227386,0.006478595733642578,0.0023951169688496,0.01,50,True,"(75, 75)",adaptive,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (75, 75), 'learning_rate': 'adaptive'}",0.491869918699187,0.532520325203252,0.508130081300813,0.47560975609756095,0.556910569105691,0.5130081300813009,0.028904697292083205,61
8,1.6836728572845459,0.4077546323092362,0.009585857391357422,0.009834870017690588,0.01,50,True,"(75, 75)",invscaling,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': True, 'hidden_layer_sizes': (75, 75), 'learning_rate': 'invscaling'}",0.491869918699187,0.532520325203252,0.508130081300813,0.47560975609756095,0.556910569105691,0.5130081300813009,0.028904697292083205,61
9,14.184065771102905,0.2932491995848713,0.004047679901123047,2.992676502982513e-05,0.01,50,False,"(25, 25)",constant,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': False, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'constant'}",0.573170731707317,0.556910569105691,0.5609756097560976,0.5121951219512195,0.5447154471544715,0.5495934959349593,0.020791401386251084,25
10,13.973144483566283,0.2149914946514292,0.004361438751220703,0.00047926009197063067,0.01,50,False,"(25, 25)",adaptive,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': False, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'adaptive'}",0.573170731707317,0.556910569105691,0.5609756097560976,0.5121951219512195,0.5447154471544715,0.5495934959349593,0.020791401386251084,25
11,14.122935581207276,0.4126978418650532,0.004303741455078125,0.0001728229429978407,0.01,50,False,"(25, 25)",invscaling,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': False, 'hidden_layer_sizes': (25, 25), 'learning_rate': 'invscaling'}",0.573170731707317,0.556910569105691,0.5609756097560976,0.5121951219512195,0.5447154471544715,0.5495934959349593,0.020791401386251084,25
12,16.86200885772705,1.198431325941328,0.00609283447265625,0.0016055510121888064,0.01,50,False,"(50, 50)",constant,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': False, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'constant'}",0.5487804878048781,0.5772357723577236,0.5447154471544715,0.556910569105691,0.5,0.5455284552845528,0.025373148836304454,34
13,17.257656002044676,0.8000133728580042,0.010038280487060547,0.00971006736773444,0.01,50,False,"(50, 50)",adaptive,"{'alpha': 0.01, 'batch_size': 50, 'early_stopping': False, 'hidden_layer_sizes': (50, 50), 'learning_rate': 'adaptive'}",0.5487804878048781,0.5772357723577236,0.5447154471544715,0.556910569105691,0.5,0.5455284552845528,0.025373148836304454,34
