,Lambda,RMSE Train,RMSE CV,RMSE test
0,0.01,4929.01653053444,414848.3042013735,3312196.0992440097
1,0.1,4624.091536077471,1669.205290237633,36902.34473960538
2,1.0,4637.926167783597,2073.9375316355663,39568.04405922714
3,5.0,4652.374704231647,2257.2672544567195,40450.17809627787
4,10.0,4667.40003673528,2346.920490034092,40853.959722564214
