,Lambda,RMSE Train,RMSE CV,RMSE test
0,0.01,134234600.4306599,71632596827.8851,43916485035.13324
1,0.1,77258960.83805594,24550173.426032037,14291889.216602163
2,1.0,77126402.00318342,23884049.026524268,11572018.063543545
3,5.0,77032761.20705126,23501689.586052716,10457283.608603168
4,10.0,76949958.13346843,23223092.38681017,9864774.0978078
