,Lambda,RMSE Train,RMSE CV,RMSE test
0,0.01,3059.2231939706166,304419.6502059433,1309688.1097631603
1,0.1,2967.5181829927037,1260.488802049498,41195.93571016699
2,1.0,2990.3948869258456,1425.9232970077237,39596.78510421749
3,5.0,3013.546633117982,1503.9615829712025,39006.81341800579
4,10.0,3036.360553338793,1541.3504903884834,38684.11470986189
